,Survived
296,0
635,1
396,0
787,0
400,1
111,0
414,1
113,0
632,1
833,0
346,1
500,0
84,1
206,0
880,1
33,0
580,1
43,1
782,0
236,0
370,1
443,1
483,1
830,1
58,1
188,0
402,0
854,0
460,1
131,0
133,1
69,0
806,0
646,0
307,1
423,0
383,1
579,1
581,1
365,0
120,0
294,0
237,1
125,1
406,0
510,1
442,0
705,0
452,0
513,1
805,0
605,0
476,0
798,0
447,1
325,1
795,0
663,0
509,1
819,0
747,1
848,0
551,0
52,1
786,1
731,0
809,1
657,0
549,1
672,0
845,0
693,0
749,0
152,0
807,0
636,0
249,0
885,0
621,1
0,0
97,1
565,0
79,1
115,0
399,1
769,0
299,1
882,0
455,1
261,1
582,0
161,1
59,0
458,1
252,0
191,0
637,0
526,1
178,0
231,0
724,1
429,1
567,0
149,0
503,0
271,1
13,0
741,0
219,0
702,0
540,1
302,0
618,1
40,0
673,1
542,0
864,0
105,0
398,0
616,0
614,0
376,1
478,0
761,0
472,1
326,0
199,0
99,0
287,0
386,0
218,1
134,0
488,0
474,0
391,1
543,1
764,0
353,0
625,0
694,0
266,0
688,0
679,1
821,1
630,1
282,0
861,0
772,0
342,0
587,1
86,0
80,0
352,0
681,1
546,1
748,0
811,0
127,1
377,0
661,0
640,0
665,0
34,0
722,0
70,0
268,1
838,1
93,0
83,0
842,1
11,1
515,0
419,0
369,1
37,0
539,1
704,0
319,1
305,1
555,0
626,0
884,0
550,1
163,0
816,0
570,1
165,1
698,0
695,0
341,1
817,0
322,1
840,0
875,1
797,1
234,0
356,1
421,0
714,0
733,0
147,0
734,0
492,0
785,0
30,0
735,0
232,0
808,0
506,1
660,1
486,1
144,0
371,0
60,0
575,0
23,1
677,1
71,0
182,0
556,1
174,0
719,0
190,1
879,1
363,0
117,0
853,1
441,0
774,1
258,1
544,0
794,0
381,1
2,1
803,1
10,1
788,1
313,0
200,0
562,0
331,0
310,1
852,0
197,0
297,0
228,0
871,1
291,1
666,0
143,0
505,0
624,0
3,1
682,0
432,1
407,1
658,0
434,0
50,0
129,0
721,0
453,1
108,0
802,1
233,1
212,0
634,0
343,0
217,0
222,0
728,0
446,1
877,0
308,0
103,0
311,1
753,0
463,0
746,0
725,0
203,0
401,0
847,0
202,0
280,0
559,1
744,1
757,0
445,1
708,1
156,1
448,1
523,1
717,1
94,0
337,1
148,0
642,0
177,0
583,0
112,0
519,0
374,0
192,1
860,0
327,1
736,0
577,1
435,1
780,1
259,1
209,1
338,1
281,0
664,1
855,1
27,0
75,0
810,0
427,1
729,0
62,0
89,0
41,0
207,1
16,0
516,1
318,1
88,1
813,0
712,1
886,0
316,1
275,1
422,0
262,0
312,0
482,0
210,0
362,0
858,1
654,0
204,1
671,0
770,0
184,1
520,1
392,0
66,1
424,0
142,1
293,0
39,1
44,1
157,0
720,1
123,1
253,0
14,0
57,0
501,0
155,0
211,1
389,1
867,0
449,1
850,0
56,1
655,0
405,0
751,1
652,0
779,1
723,0
248,1
843,0
366,1
726,1
561,0
775,0
189,0
314,0
247,1
380,1
676,0
521,0
245,0
263,0
404,0
96,0
254,0
572,1
762,1
394,1
804,1
597,0
114,0
461,0
348,1
856,1
187,1
477,0
745,0
387,1
18,0
239,0
194,1
518,1
357,0
771,0
15,1
651,1
205,0
675,0
290,1
283,1
1,1
183,1
257,1
631,0
493,0
150,0
585,1
881,0
537,1
558,1
588,0
574,0
622,1
51,0
696,0
320,0
834,0
22,1
439,0
135,0
528,0
800,0
132,0
215,1
450,0
329,1
106,1
872,0
484,1
162,0
355,0
569,1
743,0
504,1
777,1
844,0
750,1
823,1
767,0
193,1
195,1
687,0
53,1
110,0
440,1
130,0
686,0
620,0
169,0
91,0
647,1
179,0
417,1
317,0
685,0
49,0
403,0
548,0
315,1
566,0
822,0
172,1
662,0
360,0
814,0
628,0
118,0
554,1
865,1
480,0
78,1
836,0
289,1
801,1
285,0
827,1
890,0
373,0
345,1
615,1
649,1
545,0
138,0
610,0
321,0
763,1
529,0
716,1
139,0
599,1
594,0
603,0
350,0
81,1
737,1
230,1
535,1
595,0
378,0
100,0
9,1
586,0
225,0
292,0
873,0
469,1
309,1
85,1
530,1
124,0
644,1
851,0
438,0
857,1
339,0
678,0
869,1
471,0
238,0
430,1
145,0
385,0
534,0
340,1
244,0
220,1
499,0
265,0
286,1
590,0
426,1
267,1
700,1
436,0
668,0
870,0
754,1
6,0
243,0
713,0
494,0
21,1
532,0
437,1
74,1
276,0
553,1
715,0
887,1
323,1
224,1
160,0
874,1
